30.0
Energy [keV]	Rate [cps]
369	4432.93016
370	4392.35562
371	4470.01535
372	4241.64851
373	4466.77885
374	4337.20444
375	4503.11597
376	4322.11354
377	4303.68434
378	4418.05147
379	4387.01817
380	4386.69029
381	4385.68255
382	4393.54391
383	4349.22138
384	4364.16919
385	4333.44743
386	4216.48686
387	4348.86528
388	4338.07836
389	4256.16848
390	4419.52142
391	4289.66116
392	4279.88654
393	4404.57110
394	4229.42808
395	4228.90778
396	4209.29278
397	4197.70875
398	4281.60039
399	4107.05449
400	4205.34330
401	4224.37925
402	4120.28417
403	4214.49448
404	4172.66151
405	4128.39581
406	4193.09529
407	4015.06722
408	4235.51437
409	4120.72699
410	4139.53832
411	4158.02635
412	4127.37861
413	4022.90617
414	4036.59289
415	3888.46369
416	3881.71430
417	3964.73247
418	3999.56100
419	3882.24970
420	3938.45923
421	3886.16758
422	3842.10918
423	3865.40618
424	3877.60685
425	3734.68967
426	3850.32023
427	3782.30640
428	3709.07202
429	3693.72702
430	3649.67000
431	3575.80872
432	3548.49421
433	3460.80025
434	3476.00161
435	3423.85105
436	3272.55485
437	3252.60584
438	3246.86552
439	3225.70505
440	3181.37005
441	3108.36670
442	3120.26846
443	2947.59252
444	3060.30652
445	2986.88317
446	2933.54511
447	2912.12718
448	2816.27030
449	2760.29475
450	2677.92121
451	2736.73481
452	2613.70456
453	2595.67213
454	2580.63231
455	2587.15266
456	2606.96527
457	2525.38600
458	2463.17195
459	2559.24677
460	2458.91137
461	2419.37829
462	2385.46578
463	2447.79649
464	2392.73660
465	2253.97347
466	2338.40097
467	2312.25294
468	2301.77916
469	2262.10188
470	2330.74077
471	2190.80181
472	2190.24775
473	2254.57454
474	2246.05115
475	2233.90232
476	2283.35458
477	2187.01906
478	2152.67123
479	2222.89026
480	2177.79542
481	2269.83889
482	2180.44141
483	2233.84296
484	2225.40549
485	2186.38112
486	2244.58749
487	2234.52986
488	2268.06163
489	2162.04048
490	2122.75011
491	2140.30413
492	2195.98898
493	2141.64059
494	2226.60187
495	2134.80539
496	2192.55735
497	2210.87646
498	2190.41272
499	2150.25635
500	2222.96322
501	2239.98925
502	2140.20417
503	2191.75099
504	2213.56794
505	2110.82229
506	2169.06681
507	2185.91741
508	2170.86593
509	2145.96313
510	2166.86449
511	2079.13232
512	2145.65420
513	2126.29966
514	2135.00988
515	2086.76325
516	2058.89302
517	2153.22636
518	2100.78172
519	2159.99834
520	2188.61616
521	2167.29315
522	2114.67083
523	2129.03525
524	2075.13954
525	2145.45018
526	2122.91930
527	2106.63371
528	2006.81816
529	2032.71542
530	2025.07154
531	2070.79941
532	2091.72061
533	2085.98375
534	2050.02682
535	1955.29601
536	2028.35086
537	1964.90331
538	2039.58520
539	2070.09513
540	1995.84515
541	1975.98566
542	2022.27320
543	1979.07899
544	1943.44845
545	2024.05229
546	1912.72022
547	1883.87030
548	1944.73527
549	1877.36673
550	1913.68821
551	1910.99312
552	1902.88046
553	1930.03053
554	1842.38057
555	1755.08474
556	1776.40668
557	1821.89397
558	1793.72196
559	1792.07360
560	1836.80781
561	1662.33271
562	1743.72956
563	1660.74222
564	1691.25407
565	1720.83394
566	1659.63401
567	1686.44427
568	1698.62835
569	1594.99877
570	1652.96500
571	1638.67620
572	1534.77344
573	1566.68377
574	1561.72557
575	1395.07352
576	1501.33425
577	1431.33876
578	1356.11935
579	1325.09010
580	1270.94674
581	1255.42764
582	1210.18806
583	1065.45074
584	1061.78557
585	969.82805
586	886.14179
587	864.25242
588	785.18722
589	711.37714
590	658.52881
591	587.49919
592	504.92296
593	459.13778
594	389.28814
595	314.06472
596	235.27692
597	211.40364
598	0.00000
599	0.00000
